panel,cytokine,median_cv,pct_detected_lod,,,
Panel1,egf,2.95,100,,,
Panel1,eotaxin_ccl11,4.35,100,,,
Panel1,fgf_2_fgf_b,3.41,75,,,
Panel1,flt_3l,5.03,100,,,
Panel1,fractalkine_cx3cl1,7.6,88.9,,,
Panel1,g_csf,4.35,88.9,,,
Panel1,gm_csf,5.06,0,,,
Panel1,gr_oa,3.12,100,,,
Panel1,if_na2,4.29,100,,,
Panel1,ifn_g,3.51,86.1,,,
Panel1,il_10,5.96,97.2,,,
Panel1,il_12p40,3.86,100,,,
Panel1,il_12p70,5.78,80.6,,,
Panel1,il_13,4.72,52.8,,,
Panel1,il_15,2.42,100,,,
Panel1,il_17a_ctla8,6.84,77.8,,,
Panel1,il_17e_il_25,4.82,100,,,
Panel1,il_17f,8.31,86.1,,,
Panel1,il_18,3.69,100,,,
Panel1,il_1a,7.09,97.2,,,
Panel1,il_1b,4.48,77.8,,,
Panel1,il_1ra,2.63,100,,,
Panel1,il_2,4.44,38.9,,,
Panel1,il_22,3.07,0,,,
Panel1,il_27,3.44,100,,,
Panel1,il_3,4.45,0,,,
Panel1,il_4,3.43,100,,,
Panel1,il_5,5.66,100,,,
Panel1,il_6,3.67,94.4,,,
Panel1,il_7,2.92,0,,,
Panel1,il_8_cxcl8,3.54,100,,,
Panel1,il_9,5.53,100,,,
Panel1,ip_10_cxcl10,2.54,100,,,
Panel1,m_csf,6,100,,,
Panel1,mcp_1_ccl2,3.79,100,,,
Panel1,mcp_3_ccl7,5.35,100,,,
Panel1,mdc_ccl22,2.08,100,,,
Panel1,mig_cxcl9,3.92,100,,,
Panel1,mip_1a_ccl3,5.11,0,,,
Panel1,mip_1b_ccl4,3.08,100,,,
Panel1,pdgf_aa,1.9,100,,,
Panel1,pdgf_ab_bb,1.53,100,,,
Panel1,rantes_ccl5,1.31,100,,,
Panel1,s_cd40l,3.15,100,,,
Panel1,tgf_a,4.04,100,,,
Panel1,tnf_a,5.06,97.2,,,
Panel1,tnf_b_lymphotoxin_a_lta,3.45,0,,,
Panel1,vegf_a,2.8,100,,,
Panel2,bca_1_cxcl13,2.61,100,,,
Panel2,ctack_ccl27,1.91,100,,,
Panel2,ena_78_cxcl5,2.32,100,,,
Panel2,eotaxin_2_ccl24_mpif_2,2.17,100,,,
Panel2,eotaxin_3_ccl26,5.74,97.2,,,
Panel2,i_309_ccl1,5.14,100,,,
Panel2,il_16,3.23,100,,,
Panel2,il_20,3.54,80.6,,,
Panel2,il_21,4.02,97.2,,,
Panel2,il_23,3.56,100,,,
Panel2,il_28a_ifnl2,2.24,100,,,
Panel2,il_33_nf_hev_mature,5.18,100,,,
Panel2,lif,3.16,11.1,,,
Panel2,mcp_2_ccl8,2.83,100,,,
Panel2,mcp_4_ccl13,4.82,100,,,
Panel2,mip_1d_mip_5_ccl15,1.54,100,,,
Panel2,scf,2.38,100,,,
Panel2,sdf_1a_b_cxcl12,6.08,100,,,
Panel2,tarc_ccl17,2.88,100,,,
Panel2,tpo,3.44,100,,,
Panel2,trail_tnfsf10,1.73,100,,,
Panel2,tslp,3.54,100,,,
Panel2,x6ckine_ccl21_exodus_2,1.99,100,,,
Panel3,hgf,3.81,100,,,
Panel3,leptin,3.32,97.2,,,
Panel3,mif,3.65,100,,,
Panel3,pai_1_serpin_e,2.76,100,,,
Panel3,resistin,4.15,100,,,
Panel3,s_fas_tnfrsf6,3.92,100,,,
Panel3,s_fasl,5.27,100,,,
Panel3,s_icam1,3.74,100,,,
Panel3,s_vcam_1,2.65,100,,,